uid,questionNumber,correctness,time
123,1,O,23
123,2,O,26
123,3,O,25.9
123,4,O,25.3
123,5,O,26.3
123,6,O,24.4
123,7,O,23.9
123,8,O,23.7
123,9,O,22.8
123,10,X,25.2
123,11,O,25.3
123,12,O,25.1
123,13,O,23.8
123,14,O,25.2
123,15,O,26.1
123,16,O,26.5
123,17,O,25.7
123,18,O,23.7
123,19,O,22.8
123,20,O,24.8
123,21,O,25
123,22,O,13.9
123,23,O,25.8
123,24,O,24.3
123,25,O,25.2
123,1,O,25.8
123,2,O,26.7
123,3,X,21.5
123,4,O,25.9
123,5,X,21
123,6,O,24.4
123,7,O,25.4
123,8,O,25.4
123,9,O,25.9
123,10,X,20.4
123,11,O,25.3
123,12,O,27.2
123,13,O,27.5
123,14,O,26.6
123,15,X,23.3
123,16,O,27
123,17,O,26.5
123,18,O,27.8
123,19,O,26.1
123,20,X,18.4
123,21,O,26.1
123,22,O,27.8
123,23,O,27.2
123,24,O,26.8
123,25,O,27.2
